DATAFLOW,LAST UPDATE,freq,unit,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2002-Q1,66.271,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2002-Q2,71.047,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2002-Q3,72.157,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2002-Q4,73.293,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2003-Q1,67.764,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2003-Q2,72.720,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2003-Q3,74.155,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2003-Q4,75.673,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2004-Q1,70.474,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2004-Q2,75.764,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2004-Q3,77.509,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2004-Q4,79.958,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2005-Q1,74.470,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2005-Q2,80.682,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2005-Q3,82.641,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2005-Q4,85.948,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2006-Q1,79.838,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2006-Q2,87.147,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2006-Q3,88.738,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2006-Q4,91.625,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2007-Q1,84.978,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2007-Q2,91.414,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2007-Q3,92.847,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2007-Q4,96.124,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2008-Q1,89.375,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2008-Q2,95.439,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2008-Q3,96.342,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2008-Q4,96.392,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2009-Q1,84.734,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2009-Q2,89.746,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2009-Q3,90.845,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2009-Q4,92.191,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2010-Q1,85.590,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2010-Q2,92.680,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2010-Q3,94.380,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2010-Q4,96.160,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2011-Q1,88.225,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2011-Q2,94.920,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2011-Q3,95.485,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2011-Q4,96.685,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2012-Q1,88.983,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2012-Q2,94.258,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2012-Q3,94.076,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2012-Q4,95.182,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2013-Q1,88.045,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2013-Q2,94.207,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2013-Q3,94.386,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2013-Q4,95.855,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2014-Q1,89.856,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2014-Q2,96.641,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2014-Q3,97.423,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2014-Q4,99.128,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2015-Q1,93.574,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2015-Q2,100.884,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2015-Q3,102.211,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2015-Q4,103.331,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2016-Q1,96.482,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2016-Q2,103.171,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2016-Q3,104.246,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2016-Q4,105.904,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2017-Q1,100.073,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2017-Q2,109.652,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2017-Q3,110.582,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2017-Q4,111.622,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2018-Q1,104.584,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2018-Q2,112.229,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2018-Q3,113.114,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2018-Q4,114.771,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2019-Q1,108.261,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2019-Q2,116.451,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2019-Q3,117.149,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2019-Q4,118.556,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2020-Q1,107.069,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2020-Q2,104.103,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2020-Q3,112.226,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2020-Q4,113.678,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2021-Q1,105.739,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2021-Q2,114.409,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2021-Q3,116.257,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2021-Q4,117.564,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2022-Q1,110.317,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2022-Q2,118.654,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2022-Q3,118.651,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2022-Q4,119.544,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2023-Q1,112.061,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2023-Q2,119.439,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2023-Q3,119.033,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2023-Q4,119.886,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2024-Q1,111.424,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2024-Q2,119.394,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2024-Q3,120.282,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2024-Q4,121.575,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2025-Q1,114.345,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2025-Q2,122.708,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2025-Q3,123.704,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2025-Q4,124.856,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Value added, gross",Czechia,1995-Q1,58.470,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Value added, gross",Czechia,1995-Q2,62.429,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Value added, gross",Czechia,1995-Q3,64.069,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Value added, gross",Czechia,1995-Q4,64.722,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Value added, gross",Czechia,1996-Q1,60.682,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Value added, gross",Czechia,1996-Q2,65.443,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Value added, gross",Czechia,1996-Q3,66.552,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Value added, gross",Czechia,1996-Q4,66.527,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Value added, gross",Czechia,1997-Q1,60.560,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Value added, gross",Czechia,1997-Q2,64.990,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Value added, gross",Czechia,1997-Q3,65.387,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Value added, gross",Czechia,1997-Q4,64.875,,
