DATAFLOW,LAST UPDATE,freq,unit,nace_r2,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q2,1201.08,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q3,1209.86,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q4,1211.63,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q1,1220.55,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q2,1229.76,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q3,1225.23,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q4,1216.07,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q1,1232.39,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q2,1247.10,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q3,1241.20,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q4,1218.54,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Information and communication,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q2,185.78,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Information and communication,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q3,187.33,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Information and communication,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q4,191.47,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Information and communication,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q1,196.17,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Information and communication,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q2,190.09,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Information and communication,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q3,190.03,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Information and communication,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q4,186.50,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Information and communication,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q1,195.92,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Information and communication,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q2,187.87,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Information and communication,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q3,193.36,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Information and communication,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q4,189.45,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Financial and insurance activities,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q2,97.04,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Financial and insurance activities,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q3,96.54,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Financial and insurance activities,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q4,95.58,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Financial and insurance activities,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q1,90.86,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Financial and insurance activities,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q2,90.97,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Financial and insurance activities,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q3,91.94,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Financial and insurance activities,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q4,91.99,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Financial and insurance activities,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q1,91.33,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Financial and insurance activities,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q2,90.71,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Financial and insurance activities,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q3,92.15,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Financial and insurance activities,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q4,91.00,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Real estate activities,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q2,110.26,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Real estate activities,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q3,115.50,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Real estate activities,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q4,120.09,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Real estate activities,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q1,126.59,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Real estate activities,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q2,132.80,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Real estate activities,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q3,137.85,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Real estate activities,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q4,145.11,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Real estate activities,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q1,137.07,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Real estate activities,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q2,137.12,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Real estate activities,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q3,137.52,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Real estate activities,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q4,144.57,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Professional, scientific and technical activities; administrative and support service activities",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q2,494.38,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Professional, scientific and technical activities; administrative and support service activities",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q3,499.06,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Professional, scientific and technical activities; administrative and support service activities",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q4,502.22,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Professional, scientific and technical activities; administrative and support service activities",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q1,502.57,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Professional, scientific and technical activities; administrative and support service activities",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q2,503.67,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Professional, scientific and technical activities; administrative and support service activities",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q3,506.94,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Professional, scientific and technical activities; administrative and support service activities",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q4,507.91,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Professional, scientific and technical activities; administrative and support service activities",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q1,511.48,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Professional, scientific and technical activities; administrative and support service activities",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q2,508.50,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Professional, scientific and technical activities; administrative and support service activities",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q3,510.97,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Professional, scientific and technical activities; administrative and support service activities",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q4,516.61,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Public administration, defence, education, human health and social work activities",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q2,1091.47,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Public administration, defence, education, human health and social work activities",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q3,1091.61,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Public administration, defence, education, human health and social work activities",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q4,1093.14,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Public administration, defence, education, human health and social work activities",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q1,1093.64,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Public administration, defence, education, human health and social work activities",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q2,1097.05,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Public administration, defence, education, human health and social work activities",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q3,1101.66,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Public administration, defence, education, human health and social work activities",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q4,1109.14,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Public administration, defence, education, human health and social work activities",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q1,1112.04,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Public administration, defence, education, human health and social work activities",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q2,1121.83,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Public administration, defence, education, human health and social work activities",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q3,1124.20,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Public administration, defence, education, human health and social work activities",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q4,1124.64,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q2,190.63,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q3,189.38,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q4,192.91,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q1,190.84,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q2,195.33,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q3,193.22,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q4,196.18,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q1,195.96,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q2,204.42,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q3,199.30,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q4,208.35,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Total - all NACE activities,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q2,5419.16,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Total - all NACE activities,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q3,5424.37,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Total - all NACE activities,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q4,5432.43,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Total - all NACE activities,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q1,5425.49,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Total - all NACE activities,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q2,5454.66,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Total - all NACE activities,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q3,5459.47,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Total - all NACE activities,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q4,5463.76,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Total - all NACE activities,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q1,5483.97,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Total - all NACE activities,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q2,5509.54,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Total - all NACE activities,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q3,5520.55,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Total - all NACE activities,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q4,5520.65,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Total - all NACE activities,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2026-Q1,5522.62,p,
